,Hr0,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11
0,20.49,19.81,19.58,19.23,21.23,22.58,23.97,24.55,24.91,24.69,24.62,25.34
1,19.81,19.58,19.23,21.23,22.58,23.97,24.55,24.91,24.69,24.62,25.34,24.18
2,19.58,19.23,21.23,22.58,23.97,24.55,24.91,24.69,24.62,25.34,24.18,22.89
3,19.23,21.23,22.58,23.97,24.55,24.91,24.69,24.62,25.34,24.18,22.89,22.88
4,21.23,22.58,23.97,24.55,24.91,24.69,24.62,25.34,24.18,22.89,22.88,22.77
5,22.58,23.97,24.55,24.91,24.69,24.62,25.34,24.18,22.89,22.88,22.77,23.68
6,23.97,24.55,24.91,24.69,24.62,25.34,24.18,22.89,22.88,22.77,23.68,31.21
7,24.55,24.91,24.69,24.62,25.34,24.18,22.89,22.88,22.77,23.68,31.21,35.35
8,24.91,24.69,24.62,25.34,24.18,22.89,22.88,22.77,23.68,31.21,35.35,30.75
9,24.69,24.62,25.34,24.18,22.89,22.88,22.77,23.68,31.21,35.35,30.75,28.83
10,24.62,25.34,24.18,22.89,22.88,22.77,23.68,31.21,35.35,30.75,28.83,27.19
11,25.34,24.18,22.89,22.88,22.77,23.68,31.21,35.35,30.75,28.83,27.19,25.39
12,24.18,22.89,22.88,22.77,23.68,31.21,35.35,30.75,28.83,27.19,25.39,23.88
13,22.89,22.88,22.77,23.68,31.21,35.35,30.75,28.83,27.19,25.39,23.88,23.8
14,22.88,22.77,23.68,31.21,35.35,30.75,28.83,27.19,25.39,23.88,23.8,23.19
15,22.77,23.68,31.21,35.35,30.75,28.83,27.19,25.39,23.88,23.8,23.19,23.22
16,23.68,31.21,35.35,30.75,28.83,27.19,25.39,23.88,23.8,23.19,23.22,22.92
17,31.21,35.35,30.75,28.83,27.19,25.39,23.88,23.8,23.19,23.22,22.92,25.09
18,35.35,30.75,28.83,27.19,25.39,23.88,23.8,23.19,23.22,22.92,25.09,28.65
19,30.75,28.83,27.19,25.39,23.88,23.8,23.19,23.22,22.92,25.09,28.65,39.13
20,28.83,27.19,25.39,23.88,23.8,23.19,23.22,22.92,25.09,28.65,39.13,38.94
21,27.19,25.39,23.88,23.8,23.19,23.22,22.92,25.09,28.65,39.13,38.94,36.24
22,25.39,23.88,23.8,23.19,23.22,22.92,25.09,28.65,39.13,38.94,36.24,39.65
23,23.88,23.8,23.19,23.22,22.92,25.09,28.65,39.13,38.94,36.24,39.65,40.24
24,23.8,23.19,23.22,22.92,25.09,28.65,39.13,38.94,36.24,39.65,40.24,37.26
25,23.19,23.22,22.92,25.09,28.65,39.13,38.94,36.24,39.65,40.24,37.26,34.52
26,23.22,22.92,25.09,28.65,39.13,38.94,36.24,39.65,40.24,37.26,34.52,34.85
27,22.92,25.09,28.65,39.13,38.94,36.24,39.65,40.24,37.26,34.52,34.85,34.85
28,25.09,28.65,39.13,38.94,36.24,39.65,40.24,37.26,34.52,34.85,34.85,34.55
29,28.65,39.13,38.94,36.24,39.65,40.24,37.26,34.52,34.85,34.85,34.55,36.34
30,39.13,38.94,36.24,39.65,40.24,37.26,34.52,34.85,34.85,34.55,36.34,64.61
31,38.94,36.24,39.65,40.24,37.26,34.52,34.85,34.85,34.55,36.34,64.61,66.57
32,36.24,39.65,40.24,37.26,34.52,34.85,34.85,34.55,36.34,64.61,66.57,40.82
33,39.65,40.24,37.26,34.52,34.85,34.85,34.55,36.34,64.61,66.57,40.82,40.0
34,40.24,37.26,34.52,34.85,34.85,34.55,36.34,64.61,66.57,40.82,40.0,35.27
35,37.26,34.52,34.85,34.85,34.55,36.34,64.61,66.57,40.82,40.0,35.27,31.37
36,34.52,34.85,34.85,34.55,36.34,64.61,66.57,40.82,40.0,35.27,31.37,26.31
37,34.85,34.85,34.55,36.34,64.61,66.57,40.82,40.0,35.27,31.37,26.31,26.48
38,34.85,34.55,36.34,64.61,66.57,40.82,40.0,35.27,31.37,26.31,26.48,24.19
39,34.55,36.34,64.61,66.57,40.82,40.0,35.27,31.37,26.31,26.48,24.19,24.75
40,36.34,64.61,66.57,40.82,40.0,35.27,31.37,26.31,26.48,24.19,24.75,24.3
41,64.61,66.57,40.82,40.0,35.27,31.37,26.31,26.48,24.19,24.75,24.3,24.75
42,66.57,40.82,40.0,35.27,31.37,26.31,26.48,24.19,24.75,24.3,24.75,30.0
43,40.82,40.0,35.27,31.37,26.31,26.48,24.19,24.75,24.3,24.75,30.0,54.87
44,40.0,35.27,31.37,26.31,26.48,24.19,24.75,24.3,24.75,30.0,54.87,40.02
45,35.27,31.37,26.31,26.48,24.19,24.75,24.3,24.75,30.0,54.87,40.02,35.67
46,31.37,26.31,26.48,24.19,24.75,24.3,24.75,30.0,54.87,40.02,35.67,36.6
47,26.31,26.48,24.19,24.75,24.3,24.75,30.0,54.87,40.02,35.67,36.6,33.11
48,26.48,24.19,24.75,24.3,24.75,30.0,54.87,40.02,35.67,36.6,33.11,30.35
49,24.19,24.75,24.3,24.75,30.0,54.87,40.02,35.67,36.6,33.11,30.35,27.8
50,24.75,24.3,24.75,30.0,54.87,40.02,35.67,36.6,33.11,30.35,27.8,26.78
51,24.3,24.75,30.0,54.87,40.02,35.67,36.6,33.11,30.35,27.8,26.78,23.98
52,24.75,30.0,54.87,40.02,35.67,36.6,33.11,30.35,27.8,26.78,23.98,24.6
53,30.0,54.87,40.02,35.67,36.6,33.11,30.35,27.8,26.78,23.98,24.6,27.11
54,54.87,40.02,35.67,36.6,33.11,30.35,27.8,26.78,23.98,24.6,27.11,41.09
55,40.02,35.67,36.6,33.11,30.35,27.8,26.78,23.98,24.6,27.11,41.09,44.39
56,35.67,36.6,33.11,30.35,27.8,26.78,23.98,24.6,27.11,41.09,44.39,34.42
57,36.6,33.11,30.35,27.8,26.78,23.98,24.6,27.11,41.09,44.39,34.42,33.42
58,33.11,30.35,27.8,26.78,23.98,24.6,27.11,41.09,44.39,34.42,33.42,29.81
59,30.35,27.8,26.78,23.98,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0
60,27.8,26.78,23.98,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52
61,26.78,23.98,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1
62,23.98,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11
63,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21
64,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21,21.95
